provincia,zona,titulo,PrecioActual,PrecioAnterior,metros,habitaciones,ascensor,localizacion,planta,baños,tags,descripcion,Enlace
madrid,ciudad-lineal,"Piso en calle de San Marcelo, 22, Ventas, Madrid",355000,0,69,2,S,EXTERIOR,5ª,1,"VIVIENDA,LUMINOSO,VISTAS,REFORMADA,PORTERO,EXTERIOR","Particular Vende vivienda totalmente reformada, cocina independiente, salón, dos dormitorios y un baño. Amplias vistas a zonas ajardinadas y portero físico.Todas las ventanas dan al exterior, muy luminoso y soleado, sin ruidos de la calle.Características generales:- Suelos porcelánicos imitación mármol.- Ventanas c",https://www.idealista.com/inmueble/106956987/
madrid,carabanchel,"Piso en calle Cabo Nicolás Mur, San Isidro, Madrid",149000,159000,91,3,N,EXTERIOR,1ª,0,"PISO,EXCLUSIVA,INMOBILIARIA,OPORTUNIDAD","Inmobiliarias Encuentro vende en exclusiva la NUDA PROPIEDAD PARA INVERSORES Presentamos este fantástico piso en el barrio de San Isidro, Madrid, ideal para quienes buscan una excelente oportunidad de inversión. Se trata de una nuda propiedad, lo que lo convierte en una opción altamente atractiva para garantizar rentab",https://www.idealista.com/inmueble/106906044/
madrid,centro,"Piso en calle de Rodas, Lavapiés-Embajadores, Madrid",195000,0,36,1,S,,2ª,0,"EXCLUSIVA,ESTUDIO","ESTUDIO EN PLENO CENTRO DE MADRIDSarago Servicios Inmobiliarios presenta, en exclusiva, este fantástico estudio en segunda planta con ascensor, en pleno centro de Madrid. El estudio se encuentra en perfecto estado de conservación, listo para entrar a vivir.Según la distribución actual el estudio cuenta con: cocina",https://www.idealista.com/inmueble/107306175/
madrid,usera,"Piso en calle de Ferroviarios, Almendrales, Madrid",195000,0,58,1,S,INTERIOR,BAJO,0,"VIVIENDA,HOGAR,FUNCIONAL","Esta acogedora vivienda, ubicada en una planta baja, es perfecta para quienes buscan un hogar listo para entrar a vivir, sin necesidad de realizar ninguna reforma. Con un dormitorio, salón y cocina, ofrece todo lo necesario para disfrutar de un espacio funcional, cómodo y muy bien comunicado.Al entrar, te recibe un a",https://www.idealista.com/inmueble/106325171/
madrid,tetuan,"Dúplex en Bellas Vistas, Madrid",715000,750000,140,3,S,EXTERIOR,2ª,0,"TERRAZA,EXCLUSIVA,MODERNO","Maravilloso ATICO de reciente construcción, con TERRAZA en el centro de Madrid.En una calle muy tranquila, y RESIDENCIAL, cerca de todos los comercios (farmácia, panadería, carnicería, gimnasio, etc), esta EXCLUSIVA propiedad, prima por su luminosidad y acabados modernos.Con una distribución en duplex, la planta p",https://www.idealista.com/inmueble/106627265/
madrid,arganzuela,"Piso en Mazarredo, 18, Imperial, Madrid",1257000,0,135,3,S,EXTERIOR,3ª,0,"VIVIENDA,VISTAS,PISCINA,IMPRESIONANTE,EXTERIOR","Un lugar que te cambiará la vida.Magnifico proyecto de obra nueva de Darya Homes en en una ubicación privilegiada, entre el Palacio Real, Madrid Río y La Latina.Evela es un edificio 52 viviendas todas exteriores de 1, 2 y 3 dormitorios con una impresionante piscina en azotea con vistas al Palacio, además de garaj",https://www.idealista.com/inmueble/106855026/
madrid,barrio-de-salamanca,"Piso en calle de Núñez de Balboa, Recoletos, Madrid",830000,0,81,1,S,INTERIOR,6ª,0,"PISO,LUMINOSO,EQUIPADA,PORTERO,PATIO","Piso muy luminoso y con ubicación ideal en el corazón del barrio Salamanca.Consta de 81 m², en una 6 planta con portero y ascensor en un edificio con recibidor muy cuidado.Se distribuye en un espacioso salón – comedor con ventanas a un patio de manzana por donde recibe luz durante todo el día, una cocina equipada,",https://www.idealista.com/inmueble/106664996/
madrid,puente-de-vallecas,"Piso en calle de Rodríguez Espinosa, s/n, Palomeras Bajas, Madrid",70000,0,43,1,N,EXTERIOR,1ª,0,OPORTUNIDAD,"OPORTUNIDAD INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR, PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE.Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España, PROPIO PEQUEÑO Y GRAN INVERSOR.Madrid es un municipio y una ciudad de España.La localidad, con categoría histórica",https://www.idealista.com/inmueble/105588381/
madrid,moncloa,"Chalet adosado en calle de la Isla de Alegranza, 51, Ciudad Universitaria, Madrid",2150000,0,500,6,,,,0,"EXCLUSIVA,INMOBILIARIA","Mavericks Inmobiliaria comercializa con carácter de exclusiva esta propiedad de obra nueva. El inmueble se encuentra en construcción actualmente. El plazo estimado de entrega es a finales de noviembre del año 2025. Contamos con el proyecto al detalle, memoria de calidades, planos y toda la documentación que usted pudie",https://www.idealista.com/inmueble/106320122/
madrid,chamberi,"Piso en Blanca de Navarra, 4, Almagro, Madrid",1847800,0,139,2,S,EXTERIOR,3ª,0,"VIVIENDA,TERRAZA,PISCINA,GARAJE","Blanca de Navarra 4 es una promoción de obra nueva, en el corazón del barrio de Almagro, junto al Paseo de la Castellana. Consta de 8 viviendas de 1 y 2 dormitorios, con trasteros incluidos en el precio, gimnasio, terraza con piscina y plazas de garaje electrificadas opcionales. Con las calidades y garantía del Grupo R",https://www.idealista.com/inmueble/104588585/
