zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
barajas,€52.198.689,,2,"30,08%",,,madrid,365,94,1992,558,1733,666,753,522,368,391,323,505,96,509,502,315,558,289,192,206,309
barrio-de-salamanca,€3.917.561.030,,3,"33,51%",,,,,,,,,,,,,,,,,,,,,,,,
carabanchel,€151.750.982,,4,"13,25%",,,,,,,,,,,,,,,,,,,,,,,,
centro,€1.515.082.365,,5,"6,14%",,,,,,,,,,,,,,,,,,,,,,,,
chamartin,€1.110.567.170,,6,"2,59%",,,,,,,,,,,,,,,,,,,,,,,,
chamberi,€1.157.453.241,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciudad-lineal,€284.042.254,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuencarral,€309.602.800,,localizacion,titulo,SUM de PrecioActual,,,,,,,,,,,,,,,,,,,,,,,
hortaleza,€430.367.529,,EXTERIOR,"Ático en Acacias, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
latina,€97.591.899,,,"Ático en Adelfas, Madrid",€895.000,,,,,,,,,,,,,,,,,,,,,,,
moncloa,€682.911.286,,,"Ático en Alameda de Osuna, Madrid",€1.770.000,,,,,,,,,,,,,,,,,,,,,,,
moratalaz,€28.651.899,,,"Ático en Almagro, Madrid",€45.940.000,,,,,,,,,,,,,,,,,,,,,,,
puente-de-vallecas,€97.620.994,,,"Ático en almirante, Chueca-Justicia, Madrid",€2.460.000,,,,,,,,,,,,,,,,,,,,,,,
retiro,€644.217.125,,,"Ático en Alonso Cano, 68, Nuevos Ministerios-Ríos Rosas, Madrid",€1.822.670,,,,,,,,,,,,,,,,,,,,,,,
san-blas,€128.467.109,,,"Ático en Ángel Beato, 3, Peñagrande, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
tetuan,€331.360.683,,,"Ático en angel, 9, Palacio, Madrid",€498.000,,,,,,,,,,,,,,,,,,,,,,,
usera,€72.989.775,,,"Ático en Antonia Ruiz Soro, 16, Guindalera, Madrid",€780.000,,,,,,,,,,,,,,,,,,,,,,,
vicalvaro,€68.540.473,,,"Ático en Antonio Pérez, 24, El Viso, Madrid",€6.900.000,,,,,,,,,,,,,,,,,,,,,,,
villa-de-vallecas,€62.109.417,,,"Ático en Arapiles, Madrid",€1.830.000,,,,,,,,,,,,,,,,,,,,,,,
villaverde,€61.649.003,,,"Ático en Aravaca, Madrid",€4.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Arcos, Madrid",€455.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Argüelles, Madrid",€5.495.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Arroyo del Cañaveral, 127, El Cañaveral, Madrid",€1.320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Arroyo del Fresno, Madrid",€1.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Atalaya, Madrid",€2.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida Burgos, 5, Castilla, Madrid",€2.515.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de Alfonso XIII, 139, Nueva España, Madrid",€790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de América, 37, Prosperidad, Madrid",€1.800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de Burgos, 42, Castilla, Madrid",€994.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de Córdoba, 29, Almendrales, Madrid",€798.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de Europa, Aravaca, Madrid",€995.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de Guadalajara, Arcos, Madrid",€569.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de la Albufera, Palomeras sureste, Madrid",€515.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de la Ciudad de Barcelona, 108, Pacífico, Madrid",€790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de la Ciudad de Barcelona, Adelfas, Madrid",€499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de la Gran Vía del Sureste, 31, Ensanche de Vallecas - La Gavia, Madrid",€298.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de la Peseta, Pau de Carabanchel, Madrid",€1.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida de los Andes, Conde Orgaz-Piovera, Madrid",€1.330.000,,,,,,,,,,,,,,,,,,,,,,,
