Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,id,hoja_origen
161770,1,0,2012-04-04,29,089b39d8-e4d0-461b-87d4-814d71e0e079,2012
85477,1,1,2012-12-30,7,e9d37224-cb6f-4942-98d7-46672963d097,2012
147233,1,1,2012-02-02,5,3f9f49b5-e410-4948-bf6e-f9244f04918b,2012
121393,1,2,2012-12-21,29,9991fafb-4447-451a-8be2-b0df6098d13e,2012
63164,1,2,2012-06-20,20,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,2012
143854,0,1,2012-01-24,26,d63ede72-0b6d-45b1-8872-385ac6897f65,2012
76439,1,0,2012-08-15,3,5e3483e5-236d-437d-8351-541f9d09b9dd,2012
159686,1,1,2012-12-10,21,87fdc08b-30ae-4dab-803f-561ecdf27ff0,2012
179933,0,0,2012-08-22,18,87b79988-2be5-419d-88f4-56655852c565,2012
77504,1,0,2012-02-09,18,ea6b7d04-9271-4c0a-a01f-07795d164aba,2012
92882,1,1,2012-01-05,9,8d700df5-0c33-4517-8cf8-92e1c92c9c12,2012
84813,0,1,2012-06-06,30,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,2012
102006,0,1,2012-03-24,18,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,2012
140801,2,1,2012-02-11,32,54b1ea8a-a909-45d9-9562-775b64ac9c29,2012
73262,2,2,2012-09-10,27,3a7b7570-aba9-40bc-9f80-3433d064b5b7,2012
117422,1,2,2012-04-05,15,c93f0774-c122-421b-ac44-2041dcc43609,2012
70235,1,1,2012-03-11,27,8f63b4b2-6190-4fbe-a041-b0c472c596c7,2012
106688,1,1,2012-01-22,5,714f78d0-c23e-40ff-b892-bfeacc4223f8,2012
99745,2,2,2012-12-11,20,4b568fd1-8690-48a4-a1e5-7497bb533047,2012
173275,2,0,2012-04-17,26,74bf1569-4bdb-49e4-98ba-c1c607d90596,2012
32331,1,2,2012-02-27,28,e9170af6-b4f8-4700-b954-836f94372fd8,2012
158116,0,2,2012-10-08,21,47591c83-e88b-40c2-bb8e-de40b94a44cb,2012
38474,0,0,2012-03-20,2,1c85ef8a-60a1-424d-804c-f712ccd612cc,2012
179682,2,0,2012-09-26,17,f480284a-908b-4575-9ce5-28b396d54e36,2012
49728,1,2,2012-02-07,12,2a14bcd3-a981-45c2-ac76-79323567627c,2012
176324,1,0,2012-04-04,1,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,2012
104766,0,2,2012-12-19,32,cbf9c247-762f-40f9-a351-a7e686ac7488,2012
118851,0,2,2012-02-08,30,b4861606-8206-4f41-acd5-63b48d5596a1,2012
54609,1,1,2012-01-08,25,f52b8aff-2bab-496e-9b18-95925894c0ed,2012
75488,1,1,2012-08-30,26,943bc97d-2618-4ba3-b2dc-5a3d1571446a,2012
172888,1,2,2012-11-01,10,61bec99d-c1d2-4231-aa6a-37a002c9af42,2012
90838,1,0,2012-05-10,7,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,2012
20361,2,0,2012-11-14,32,69cb4917-d4e6-456f-a840-c5c411bac44c,2012
128876,0,2,2012-10-06,1,a028192c-3c95-4935-aa95-06515e5fd38d,2012
121937,2,2,2012-10-29,21,ebf703d5-d980-47bc-a8eb-6de16260483f,2012
73868,1,1,2012-02-29,14,7aeeda6f-95df-402b-a8d8-817764f4dafe,2012
83851,1,1,2012-10-18,12,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,2012
71669,2,2,2012-04-16,26,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,2012
50412,0,0,2012-05-05,2,a9280a68-5b1e-448c-98c9-271eba3e4a30,2012
35940,1,0,2012-11-15,15,b1d3e69b-43f5-4983-ba00-37dcc3979e84,2012
131696,2,0,2012-12-23,3,e03dc123-10b3-42f2-9d18-c26a53c7a473,2012
55182,2,0,2012-11-20,7,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,2012
170859,2,2,2012-04-11,28,dd9279a9-2d85-4f87-b87b-560f5224d46a,2012
65477,0,0,2012-09-10,24,45576313-a078-48e8-803c-b5fec072ee53,2012
122815,2,1,2012-05-14,28,f2e69637-04fb-4d2d-813e-b15e061776e9,2012
52087,0,2,2012-03-09,13,01d47e8f-32e7-4fd8-8188-2761a09f42bb,2012
136434,1,1,2012-07-03,3,170ae51e-abde-4832-a157-f1bf0f630e83,2012
48855,2,1,2012-08-21,11,6beb1eea-2343-42c1-9881-378c64cf08e5,2012
14091,1,2,2012-03-23,15,6155f7ed-fc77-4de5-8f66-386c9a85d74a,2012
49376,1,2,2012-11-21,18,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,2012
141524,1,2,2012-01-10,32,89d515a3-7191-4a7c-b166-692bd3eb0e2e,2012
139751,0,2,2012-06-23,15,d43355a7-b518-46f4-8713-b9daba3e586f,2012
