age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,latitude,longitude,id,contact_month,contact_year,contactado_previamente,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,hoja_origen
45.0,housemaid,married,basic.4y,no,no,no,telephone,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-08-02,41.495,-71.233,089b39d8-e4d0-461b-87d4-814d71e0e079,8.0,2019.0,False,161770,1,0,2012-04-04,29,2012
57.0,services,married,high.school,unknown,no,no,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-14,34.601,-83.923,e9d37224-cb6f-4942-98d7-46672963d097,9.0,2016.0,False,85477,1,1,2012-12-30,7,2012
37.0,services,married,high.school,no,yes,no,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-15,34.939,-94.847,3f9f49b5-e410-4948-bf6e-f9244f04918b,2.0,2019.0,False,147233,1,1,2012-02-02,5,2012
40.0,admin.,married,basic.6y,no,no,no,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-11-29,49.041,-70.308,9991fafb-4447-451a-8be2-b0df6098d13e,11.0,2015.0,False,121393,1,2,2012-12-21,29,2012
56.0,services,married,high.school,no,no,yes,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-01-29,38.033,-104.463,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,1.0,2017.0,False,63164,1,2,2012-06-20,20,2012
45.0,services,married,basic.9y,unknown,no,no,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-09-26,24.689,-101.643,d63ede72-0b6d-45b1-8872-385ac6897f65,9.0,2015.0,False,143854,0,1,2012-01-24,26,2012
59.0,admin.,married,professional.course,no,no,no,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-25,31.456,-94.561,5e3483e5-236d-437d-8351-541f9d09b9dd,1.0,2019.0,False,76439,1,0,2012-08-15,3,2012
39.0,blue-collar,married,unknown,unknown,no,no,telephone,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-25,46.871,-122.235,87fdc08b-30ae-4dab-803f-561ecdf27ff0,9.0,2017.0,False,159686,1,1,2012-12-10,21,2012
24.0,technician,single,professional.course,no,yes,no,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-01-18,44.632,-85.811,87b79988-2be5-419d-88f4-56655852c565,1.0,2018.0,False,179933,0,0,2012-08-22,18,2012
25.0,services,single,high.school,no,yes,no,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-11-02,30.297,-117.382,ea6b7d04-9271-4c0a-a01f-07795d164aba,11.0,2016.0,False,77504,1,0,2012-02-09,18,2012
41.0,blue-collar,married,unknown,unknown,no,no,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-11-30,43.616,-90.902,8d700df5-0c33-4517-8cf8-92e1c92c9c12,11.0,2015.0,False,92882,1,1,2012-01-05,9,2012
25.0,services,single,high.school,no,yes,no,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-04-17,49.118,-85.121,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,4.0,2016.0,False,84813,0,1,2012-06-06,30,2012
29.0,blue-collar,single,high.school,no,no,yes,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-06-14,30.047,-112.472,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,6.0,2016.0,False,102006,0,1,2012-03-24,18,2012
57.0,housemaid,divorced,basic.4y,no,yes,no,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-25,28.873,-70.852,54b1ea8a-a909-45d9-9562-775b64ac9c29,8.0,2015.0,False,140801,2,1,2012-02-11,32,2012
35.0,blue-collar,married,basic.6y,no,yes,no,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-19,36.188,-109.835,3a7b7570-aba9-40bc-9f80-3433d064b5b7,9.0,2016.0,False,73262,2,2,2012-09-10,27,2012
