,age,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,Income,Kidhome,Teenhome,NumWebVisitsMonth
age,1.0,0.001,0.005,-0.033,0.021,-0.003,0.0,0.123,0.006,-0.019,0.001,0.001,-0.001,-0.004
duration,0.001,1.0,-0.072,-0.048,0.021,-0.027,0.006,-0.008,-0.03,-0.044,-0.003,-0.001,-0.006,0.001
campaign,0.005,-0.072,1.0,0.053,-0.08,0.152,0.128,-0.013,0.116,0.145,-0.004,-0.007,0.001,0.004
pdays,-0.033,-0.048,0.053,1.0,-0.589,0.271,0.077,-0.092,0.26,0.373,0.004,0.001,0.005,-0.002
previous,0.021,0.021,-0.08,-0.589,1.0,-0.419,-0.2,-0.049,-0.386,-0.502,-0.003,-0.001,-0.003,-0.002
emp_var_rate,-0.003,-0.027,0.152,0.271,-0.419,1.0,0.771,0.192,0.816,0.907,-0.009,-0.004,0.001,-0.007
cons_price_idx,0.0,0.006,0.128,0.077,-0.2,0.771,1.0,0.056,0.571,0.519,-0.011,0.001,0.003,-0.005
cons_conf_idx,0.123,-0.008,-0.013,-0.092,-0.049,0.192,0.056,1.0,0.231,0.097,0.002,-0.002,0.001,0.007
euribor3m,0.006,-0.03,0.116,0.26,-0.386,0.816,0.571,0.231,1.0,0.796,-0.003,-0.007,-0.003,-0.003
nr_employed,-0.019,-0.044,0.145,0.373,-0.502,0.907,0.519,0.097,0.796,1.0,-0.004,-0.007,-0.001,-0.01
Income,0.001,-0.003,-0.004,0.004,-0.003,-0.009,-0.011,0.002,-0.003,-0.004,1.0,0.001,0.006,0.002
Kidhome,0.001,-0.001,-0.007,0.001,-0.001,-0.004,0.001,-0.002,-0.007,-0.007,0.001,1.0,-0.001,-0.006
Teenhome,-0.001,-0.006,0.001,0.005,-0.003,0.001,0.003,0.001,-0.003,-0.001,0.006,-0.001,1.0,-0.003
NumWebVisitsMonth,-0.004,0.001,0.004,-0.002,-0.002,-0.007,-0.005,0.007,-0.003,-0.01,0.002,-0.006,-0.003,1.0
