,count,mean,std,min,25%,50%,75%,max,mediana
age,43000.0,39.82,9.96,17.0,33.0,38.0,46.0,98.0,38.0
duration,43000.0,257.74,258.67,0.0,102.0,179.0,319.0,4918.0,179.0
campaign,43000.0,2.57,2.77,1.0,1.0,2.0,3.0,56.0,2.0
pdays,43000.0,962.33,187.26,0.0,999.0,999.0,999.0,999.0,999.0
previous,43000.0,0.17,0.5,0.0,0.0,0.0,0.0,7.0,0.0
emp_var_rate,43000.0,0.08,1.57,-3.4,-1.8,1.1,1.4,1.4,1.1
cons_price_idx,42752.0,93.58,0.58,92.2,93.08,93.75,93.99,94.77,93.75
cons_conf_idx,43000.0,-40.51,4.64,-50.8,-42.7,-41.8,-36.4,-26.9,-41.8
euribor3m,42752.0,3.88,1.62,0.63,1.48,4.86,4.96,5.04,4.86
nr_employed,43000.0,5166.85,72.41,4963.6,5099.1,5191.0,5228.1,5228.1,5191.0
Income,43000.0,93241.2,50498.32,5841.0,49610.0,93050.5,136744.5,180802.0,93050.5
Kidhome,43000.0,1.0,0.82,0.0,0.0,1.0,2.0,2.0,1.0
Teenhome,43000.0,1.0,0.82,0.0,0.0,1.0,2.0,2.0,1.0
NumWebVisitsMonth,43000.0,16.59,9.24,1.0,9.0,17.0,25.0,32.0,17.0
