variable,categoria,tasa_suscripcion_%
job,student,31.33997785160576
job,retired,25.195530726256983
job,unemployed,14.393226716839136
job,admin.,13.01388761151476
job,unknown,11.304347826086957
job,management,11.21311475409836
job,technician,10.845431255337319
job,self-employed,10.81262592343855
job,housemaid,9.884238646482636
job,entrepreneur,8.278580814717477
job,services,8.073041806823642
job,blue-collar,6.888336440853532
education,illiterate,22.22222222222222
education,unknown,14.443829551743221
education,university.degree,13.739977990881938
education,professional.course,11.320065729413912
education,high.school,10.841309823677582
education,basic.4y,10.284664830119375
education,basic.6y,8.130762782900252
education,basic.9y,7.814233634490411
marital,unknown,15.294117647058824
marital,single,13.928128872366791
marital,married,10.21193122812416
marital,divorced,10.184992725005197
contact,cellular,14.743028179296246
contact,telephone,5.158933606767495
poutcome,success,65.32033426183844
poutcome,failure,14.234476574759022
poutcome,nonexistent,8.815998706304072
default,no,12.86453433678269
default,unknown,5.211001002115577
default,yes,0.0
housing,yes,11.627700240021335
housing,unknown,11.11111111111111
housing,no,10.854384883959746
loan,no,11.33401049602167
loan,unknown,11.11111111111111
loan,yes,10.915492957746478
