contact_year,contact_month,y
2015,1,11.47
2015,2,10.86
2015,3,10.18
2015,4,8.9
2015,5,11.75
2015,6,9.71
2015,7,9.68
2015,8,12.76
2015,9,11.64
2015,10,12.36
2015,11,11.13
2015,12,10.2
2016,1,13.5
2016,2,10.27
2016,3,10.33
2016,4,11.49
2016,5,10.12
2016,6,13.08
2016,7,12.02
2016,8,11.19
2016,9,11.14
2016,10,14.29
2016,11,10.51
2016,12,12.11
2017,1,11.59
2017,2,11.1
2017,3,10.84
2017,4,11.84
2017,5,9.36
2017,6,11.66
2017,7,9.72
2017,8,10.36
2017,9,8.57
2017,10,12.67
2017,11,12.46
2017,12,11.46
2018,1,8.86
2018,2,11.2
2018,3,11.7
2018,4,12.02
2018,5,10.93
2018,6,13.24
2018,7,13.58
2018,8,11.83
2018,9,9.49
2018,10,10.84
2018,11,11.73
2018,12,11.66
2019,1,12.45
2019,2,12.15
2019,3,10.68
2019,4,11.7
2019,5,10.98
2019,6,8.8
2019,7,11.93
2019,8,11.27
2019,9,10.44
2019,10,11.57
2019,11,11.59
2019,12,11.84
